Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
2.180579833,-4.135498047,-16.33853912,-42.83633423,46.03261599
2.190524833,-4.131378174,-16.27379608,-42.9229126,46.08992461
2.200470833,-4.28225708,-16.45776367,-42.87515259,46.12455333
2.210415833,-4.156539917,-16.32441711,-42.83892822,46.0319149
2.220360833,-4.296890259,-16.37998199,-42.95516968,46.17265076
2.230306833,-4.199279785,-16.29508972,-42.69171143,45.88840948
2.240251833,-4.356750488,-16.25977325,-42.37878418,45.59959265
2.250197833,-4.047027588,-16.12658691,-42.53964233,45.67347598
2.260142833,-3.95980835,-16.24221802,-42.75244141,45.90491231
2.270087833,-3.985748291,-16.45352173,-42.73361206,45.9648362
2.280033833,-4.06048584,-16.56454468,-42.88085938,46.14802039
2.289978833,-4.285446167,-16.39942169,-42.46881104,45.72642553
2.299923833,-4.302032471,-16.47021484,-42.5385437,45.81815318
2.309869833,-4.137481689,-16.33131409,-42.43548584,45.6574313
2.319814833,-4.187164307,-16.40154266,-42.19458008,45.46345274
2.329760833,-4.346511841,-16.49986267,-42.11715698,45.44218905
2.339705833,-4.187438965,-16.50083923,-42.47442627,45.75903438
2.349650833,-4.563400269,-16.40285492,-42.59921265,45.8756056
2.359596833,-4.316802979,-16.41506958,-42.71096802,45.95994002
2.369541833,-4.363464355,-16.58759308,-42.67434692,45.99225968
2.379486833,-4.159286499,-16.82382965,-42.52520752,45.92095581
2.389432833,-4.108428955,-16.71058655,-42.65228271,45.99282675
2.399377833,-4.230453491,-16.73587036,-42.52233887,45.89265079
2.409323833,-4.149505615,-16.59051514,-42.85357666,46.13992438
2.419268833,-4.137069702,-16.75073242,-42.57846069,45.9415683
2.429213833,-4.235671997,-16.73619843,-42.6729126,46.03280053
2.439159833,-4.012481689,-16.9322052,-42.71987915,46.12794876
2.449104833,-3.913101196,-16.79152679,-43.04101563,46.36590082
2.459049833,-4.27293396,-16.76200867,-43.13754272,46.47655852
2.468995833,-4.02281189,-16.62536621,-42.90875244,46.1924978
2.478940833,-4.231140137,-16.7038269,-42.64697266,45.99657223
2.488886833,-4.219558716,-16.61121368,-42.37545776,45.71013582
2.498831833,-4.073760986,-16.54479218,-42.15057373,45.46423366
2.508776833,-4.073760986,-16.54479218,-42.15057373,45.46423366
2.518722833,-4.077468872,-16.49808502,-42.32827759,45.61245055
2.528667833,-4.171875,-16.33127594,-42.79467773,45.99456008
2.538612833,-3.983840942,-16.71831512,-42.74215698,46.06804785
2.548558833,-4.098129272,-16.76818085,-42.61480713,45.97812892
2.558503833,-3.97428894,-16.80464935,-42.77264404,46.12689336
2.568449833,-4.015136719,-16.70809937,-42.50296021,45.84521276
2.578394833,-4.141372681,-16.69878387,-42.9437561,46.26193402
2.588339833,-3.968185425,-16.81116486,-42.96795654,46.30990228
2.598285833,-3.770584106,-16.78025055,-42.90432739,46.22310485
2.608230833,-3.733001709,-16.72111511,-42.83981323,46.13871032
2.618175833,-4.016464233,-16.60588074,-42.55545044,45.85688195
2.628121833,-4.132202148,-16.69920349,-42.8873291,46.20888972
2.638066833,-4.07170105,-16.49264526,-42.81381226,46.06092289
2.648012833,-4.155700684,-16.78878021,-42.79510498,46.15792456
2.657957833,-3.873474121,-16.72160339,-42.90457153,46.21058407
2.667902833,-4.210479736,-16.7554245,-42.52105713,45.89676121
2.677849667,-4.167602539,-16.49163818,-42.41601563,45.69968733
2.687794667,-4.028884888,-16.5049057,-42.32403564,45.60666419
2.697739667,-3.9609375,-16.5359726,-42.41802979,45.69919766
2.707685667,-3.997436523,-16.75611877,-42.47467041,45.83497182
2.717630667,-4.010681152,-17.00483704,-42.48400879,45.9362716
2.727576667,-4.081451416,-16.64452362,-42.69564819,46.00670372
2.737521667,-3.867904663,-16.59700775,-42.54406738,45.83032863
2.747466667,-3.912765503,-16.8371582,-42.19491577,45.59836123
2.757412667,-3.785903931,-16.83231354,-42.74441528,46.0949551
2.767357667,-3.837249756,-16.63592529,-42.60488892,45.89831212
2.777302667,-3.612548828,-16.49598694,-42.668396,45.88856188
2.787248667,-3.915023804,-16.63777161,-42.17272949,45.50474666
2.797193667,-3.722412109,-16.49889374,-42.58493042,45.82080472
